,XI-DFC,XI-IPC,XI-S1C,XI-VFC,XI-STC,XI-ITC,XI-OFC,XI-V1C,XI-MFC,X-DFC,X-IPC,X-S1C,X-VFC,X-STC,X-ITC,X-OFC,X-V1C,X-MFC,IX-DFC,IX-IPC,IX-S1C,IX-VFC,IX-STC,IX-ITC,IX-OFC,IX-V1C,IX-MFC,VIII-DFC,VIII-IPC,VIII-S1C,VIII-VFC,VIII-STC,VIII-ITC,VIII-OFC,VIII-V1C,VIII-MFC,VII-DFC,VII-IPC,VII-S1C,VII-VFC,VII-STC,VII-ITC,VII-OFC,VII-V1C,VII-MFC,VI-DFC,VI-IPC,VI-S1C,VI-VFC,VI-STC,VI-ITC,VI-OFC,VI-V1C,VI-MFC,IV-DFC,IV-IPC,IV-S1C,IV-VFC,IV-STC,IV-ITC,IV-OFC,IV-V1C,IV-MFC,IIIB-DFC,IIIB-IPC,IIIB-S1C,IIIB-VFC,IIIB-STC,IIIB-ITC,IIIB-OFC,IIIB-V1C,IIIB-MFC,IIIA-DFC,IIIA-IPC,IIIA-S1C,IIIA-VFC,IIIA-STC,IIIA-ITC,IIIA-OFC,IIIA-V1C,IIIA-MFC,IIB-DFC,IIB-IPC,IIB-S1C,IIB-VFC,IIB-STC,IIB-ITC,IIB-OFC,IIB-V1C,IIB-MFC
43,,,,,,,,,,,,,,,,3.443320628922726,,,,,,,,,,,2.5146117699872788,,,,,,,,,,,,,8.481835336714957,,,,,,,,,2.5717192566027807,5.439912843937205,,,,2.6447484827429117,,,,,,,,,,,2.2287472429836543,,,,,,,,,,,,,,,,,,2.6401467324777075,,,,,,,
44,,,,,,,,,,,,,,,,,2.101154595870136,,,,,,,,,,,,,,,,,3.053667937823512,2.3789804618023247,,,,,,,,,2.6639279359584447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,2.3781277708681383,,,,,,,2.2475545079760657,,,,,,,,,,,,,,2.935411255449143,,,2.5349530638668747,,,,,,,,,5.841890305160336,7.2607409613896206,2.563566922183191,,,,,,,,,,,,,,,,3.0013126914322967,,2.1111183365982944,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,2.484762845287264,4.214146406327871,,6.070196722346367,3.2023506884760224,,2.289453292925146,2.505428266328156,,,,,,,,,,7.38616658292166,,3.078130770699885,,,,,,,,,6.629275472877949,,,,,,,,2.0644707268485285,,,3.227220284151103,,,,,,2.088912268596844,4.580580030812957,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2547313621897582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.101546197663529,,,2.762545666837651,,,,,,2.1167292113241034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,2.3076983348721902,,,,2.0988743611991163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,2.8607182191662215,,,,,,,,,,,,,,,,,,,2.4131280401434387,,,2.084477504836363,,,,,,,,2.151050741972897,,2.4129575284284464,,,3.3758132566859915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,3.4078666881493413,,,2.0213894055470694,,,,,,,,,,,,,,,,,,,,,,,,,,2.897735705872086,,,,,,,,,,,,,,,,,,3.120213599978315,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,3.1111865262643863,,,,,,,,,,,,,2.1756314067276312,,,,,,,,,,2.0964008744571085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,3.0581993245010586,,4.8550129031295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,2.896326169811172,,,,,,,,,,,,,,,,,,3.67207827711635,,,,,,,,,,2.226265919723569,,,,,,,,,,,,,,,,,,2.579805511653064,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,2.4139829609483248,4.26443673730207,2.659015481149701,2.3944963054094397,,,2.3707698638677566,,,,,,,,,,,2.3649731318003515,2.0148791881032846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,3.561573803627837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,2.14587768616252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,3.504438425498832,,,,,,,2.2699517538517746,,2.8970040315779735,,,,,,,,,,3.125284367068104,,,,,2.9321552954897614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,2.5656854443725954,2.5527684088277742,,,3.1714455966774824,,,,,,,,,,,,,,,3.0161150480372814,,,,,,,,,,,,,2.174151751286075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,2.440084757953788,,,,,,,,,,,,,,,,,3.216617654326424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,2.0304139418777467,,,,,,,,,,,,,,,,,,,2.6271300932646118,,,2.709909997240107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0124584949616606,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,2.113957229392509,,2.3655063319133185,,,,,,,,,,,3.3455974180819754,,,,,,,,,,4.136720147370744,,,,,,,,,,,,,,,,,,2.216511304392409,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,2.2435598924583258,,,,,,,,,,,,,,,,,,,,,4.594003347658202,2.5593808620549403,,,,,,,,,4.19449363021922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,2.303749882759397,,,,,,,,,,,4.189371288925525,,,2.079026338853169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,2.136448077114367,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2361363342725107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,2.098350385005778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.407998782848693,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3421287456415048,,,,,,,,,,,,,,,,,,,,,,,,
